instance,method,sweep,chords,relC
wedge,P,0,0,0.27708052609262884
wedge,P,1,3,0.26024338204914854
wedge,P,2,6,0.27100369866920226
wedge,P,3,9,0.2811101512178967
wedge,P,4,12,0.2916344765611776
wedge,P,5,15,0.3025512821370575
wedge,P,6,18,0.31387679587623996
wedge,P,7,21,0.32562625959896113
wedge,P,8,24,0.33781554533096225
wedge,P,9,27,0.3504611170082634
wedge,P,10,30,0.3635800549509543
wedge,P,11,33,0.37719007884980416
wedge,P,12,36,0.3913095717033039
wedge,P,13,39,0.4059576046473804
wedge,P,14,42,0.4211539627147012
wedge,P,15,45,0.43691917155822735
wedge,P,16,48,0.4532745251751232
wedge,P,17,51,0.4702421146684625
wedge,P,18,54,0.4878448580855803
wedge,P,19,57,0.5061065313733845
wedge,P,20,60,0.5250518004924097
wedge,P,21,63,0.5447062547330307
wedge,P,22,66,0.5650964412787964
wedge,P,23,69,0.586249901063594
wedge,P,24,72,0.6081952059710662
wedge,P,25,75,0.6309619974265236
wedge,P,26,78,0.6545810264334911
wedge,P,27,81,0.6871185143325178
wedge,P,28,84,0.7189340642061333
wedge,P,29,87,0.7473637443680029
wedge,P,30,90,0.7724826801044301
wedge,P,31,93,0.7946432069657343
wedge,P,32,96,0.814189842921717
wedge,P,33,99,0.8314304417020927
wedge,P,34,102,0.8466370062984141
wedge,P,35,105,0.8600495042659903
wedge,P,36,108,0.8718795983723281
wedge,P,37,111,0.8823139802230612
wedge,P,38,114,0.8915173156744526
wedge,P,39,117,0.8996348433468643
wedge,P,40,120,0.906794666636916
wedge,P,41,123,0.9131097753268249
wedge,P,42,126,0.918679828685649
wedge,P,43,129,0.923592728200702
wedge,P,44,132,0.9279260047584142
wedge,P,45,135,0.9316999011189665
wedge,P,46,138,0.9325737656122278
wedge,P,47,141,0.9333445317375406
wedge,P,48,144,0.9340243630208921
wedge,P,49,147,0.9346239879377712
wedge,P,50,150,0.9351528692201527
wedge,P,51,153,0.935619353188679
wedge,P,52,156,0.9360308014666613
wedge,P,53,159,0.9363937071544784
wedge,P,54,162,0.9367137972977562
wedge,P,55,165,0.9369961232663557
wedge,P,56,168,0.9372451404704771
wedge,P,57,171,0.9374647786718648
wedge,P,58,174,0.9376585039997147
wedge,P,59,177,0.9378293736499573
wedge,P,60,180,0.9379800841311202
wedge,P,61,183,0.9381130138181661
wedge,P,62,186,0.9382302604858287
wedge,P,63,189,0.9383336744137735
wedge,P,64,192,0.9384248875860219
wedge,P,65,195,0.9385053394454274
wedge,P,66,198,0.9385762996096482
wedge,P,67,201,0.9386388879070897
wedge,P,68,204,0.9386940920490134
wedge,P,69,207,0.9387427832166956
wedge,P,70,210,0.9387857298096054
wedge,P,71,213,0.9388236095715918
wedge,P,72,216,0.9388570202864098
wedge,P,73,219,0.9388864892114005
wedge,P,74,222,0.9389124813981841
wedge,P,75,225,0.9389354070316774
wedge,P,76,228,0.9389556279032595
wedge,P,77,231,0.9389734631202298
wedge,P,78,234,0.9389891941416677
wedge,P,79,237,0.9390030692201672
wedge,P,80,240,0.9390153073195234
wedge,P,81,243,0.9390261015702291
wedge,P,82,246,0.9390356223172733
wedge,P,83,249,0.9390440198083793
wedge,P,84,252,0.9390514265650692
wedge,P,85,255,0.9390579594740034
wedge,P,86,258,0.9390637216315749
wedge,P,87,261,0.9390688039708838
wedge,P,88,264,0.9390732866967603
wedge,P,89,267,0.9390772405514838
wedge,P,90,270,0.9390807279311744
wedge,P,91,273,0.9390838038704666
wedge,P,92,276,0.9390865169110222
wedge,P,93,279,0.939088909867565
wedge,P,94,282,0.9390910205035468
wedge,P,95,285,0.9390928821270942
wedge,P,96,288,0.9390945241166462
wedge,P,97,291,0.9390959723845812
wedge,P,98,294,0.9390972497861387
wedge,P,99,297,0.9390983764801012
wedge,P,100,300,0.9390993702469235
wedge,P,101,303,0.9391002467693225
wedge,P,102,306,0.9391010198797753
wedge,P,103,309,0.9391017017788023
wedge,P,104,312,0.9391023032275116
wedge,P,105,315,0.9391028337174149
wedge,P,106,318,0.9391033016202199
wedge,P,107,321,0.9391037143199407
wedge,P,108,324,0.9391040783294253
wedge,P,109,327,0.9391043993931404
wedge,P,110,330,0.9391046825778183
wedge,P,111,333,0.939104932352423
wedge,P,112,336,0.9391051526586655
wedge,P,113,339,0.9391053469732189
wedge,P,114,342,0.9391055183625792
wedge,P,115,345,0.939105669531454
wedge,P,116,348,0.9391058028654544
wedge,P,117,351,0.9391059204687338
wedge,P,118,354,0.939106024197201
wedge,P,119,357,0.9391061156878031
wedge,P,120,360,0.939106196384361
wedge,CN,0,0,0.27708052609262884
wedge,CN,1,3,0.2687038588145002
wedge,CN,2,6,0.2872379155103971
wedge,CN,3,9,0.30705037311621086
wedge,CN,4,12,0.32822941032445885
wedge,CN,5,15,0.35086928802124373
wedge,CN,6,18,0.37507076881026297
wedge,CN,7,21,0.4009415654738199
wedge,CN,8,24,0.428596820366767
wedge,CN,9,27,0.4581596178770279
wedge,CN,10,30,0.489761532233477
wedge,CN,11,33,0.5235432130992925
wedge,CN,12,36,0.5596550115570624
wedge,CN,13,39,0.5982576492717
wedge,CN,14,42,0.6395229338093902
wedge,CN,15,45,0.6983109818555194
wedge,CN,16,48,0.7503896237808528
wedge,CN,17,51,0.792965238594896
wedge,CN,18,54,0.8277718869593593
wedge,CN,19,57,0.8562272075849997
wedge,CN,20,60,0.8794901561869304
wedge,CN,21,63,0.8928949300400398
wedge,CN,22,66,0.897619487451719
wedge,CN,23,69,0.9014819333429713
wedge,CN,24,72,0.9046395811315174
wedge,CN,25,75,0.90722103853888
wedge,CN,26,78,0.9093314456495795
wedge,CN,27,81,0.9110567571577927
wedge,CN,28,84,0.9124672432129642
wedge,CN,29,87,0.9136203514501506
wedge,CN,30,90,0.9145630467726541
wedge,CN,31,93,0.9153337241838556
wedge,CN,32,96,0.9159637725759052
wedge,CN,33,99,0.9164788531667662
wedge,CN,34,102,0.9168999446550216
wedge,CN,35,105,0.917244197660527
wedge,CN,36,108,0.9175256332513788
wedge,CN,37,111,0.9177557140074825
wedge,CN,38,114,0.9179438108795563
wedge,CN,39,117,0.9180975848582373
wedge,CN,40,120,0.9182232989982884
wedge,CN,41,123,0.918326073506334
wedge,CN,42,126,0.9184100942815586
wedge,CN,43,129,0.9184787834030514
wedge,CN,44,132,0.9185349385075321
wedge,CN,45,135,0.9185808467342036
wedge,CN,46,138,0.9186183778775535
wedge,CN,47,141,0.918649060542149
wedge,CN,48,144,0.9186741444011169
wedge,CN,49,147,0.9186946510940331
wedge,CN,50,150,0.9187114158372454
wedge,CN,51,153,0.9187251214413679
wedge,CN,52,156,0.9187363261214501
wedge,CN,53,159,0.9187454862324992
wedge,CN,54,162,0.9187529748563424
wedge,CN,55,165,0.9187590969968683
wedge,CN,56,168,0.9187641020025142
wedge,CN,57,171,0.9187681937219723
wedge,CN,58,174,0.9187715388067358
wedge,CN,59,177,0.9187742734986376
wedge,CN,60,180,0.9187765091788477
wedge,CN,61,183,0.9187783369043018
wedge,CN,62,186,0.9187798311163624
wedge,CN,63,189,0.9187810526727401
wedge,CN,64,192,0.9187820513261592
wedge,CN,65,195,0.9187828677507376
wedge,CN,66,198,0.9187835351986029
wedge,CN,67,201,0.9187840808542149
wedge,CN,68,204,0.9187845269415609
wedge,CN,69,207,0.9187848916293156
wedge,CN,70,210,0.9187851897708347
wedge,CN,71,213,0.9187854335091117
wedge,CN,72,216,0.9187856327713542
wedge,CN,73,219,0.9187857956733078
wedge,CN,74,222,0.9187859288497996
wedge,CN,75,225,0.91878603772497
wedge,CN,76,228,0.9187861267331916
wedge,CN,77,231,0.9187861994996777
wedge,CN,78,234,0.9187862589881314
wedge,CN,79,237,0.9187863076214562
wedge,CN,80,240,0.918786347380436
wedge,CN,81,243,0.9187863798844135
wedge,CN,82,246,0.9187864064572426
wedge,CN,83,249,0.9187864281812064
wedge,CN,84,252,0.9187864459410996
wedge,CN,85,255,0.9187864604602638
wedge,CN,86,258,0.9187864723300506
wedge,CN,87,261,0.9187864820339026
wedge,CN,88,264,0.9187864899670483
wedge,CN,89,267,0.9187864964525975
wedge,CN,90,270,0.918786501754699
wedge,CN,91,273,0.9187865060893016
wedge,CN,92,276,0.9187865096329497
wedge,CN,93,279,0.9187865125299717
wedge,CN,94,282,0.9187865148983612
wedge,CN,95,285,0.9187865168345795
wedge,CN,96,288,0.9187865184174883
wedge,CN,97,291,0.9187865197115556
wedge,CN,98,294,0.9187865207694886
wedge,CN,99,297,0.918786521634376
wedge,CN,100,300,0.9187865223414438
wedge,CN,101,303,0.918786522919489
wedge,CN,102,306,0.9187865233920558
wedge,CN,103,309,0.9187865237783913
wedge,CN,104,312,0.9187865240942305
wedge,CN,105,315,0.9187865243524375
wedge,CN,106,318,0.9187865245635276
wedge,CN,107,321,0.9187865247360991
wedge,CN,108,324,0.9187865248771809
wedge,CN,109,327,0.9187865249925189
wedge,CN,110,330,0.9187865250868107
wedge,CN,111,333,0.9187865251638969
wedge,CN,112,336,0.9187865252269165
wedge,CN,113,339,0.9187865252784361
wedge,CN,114,342,0.9187865253205552
wedge,CN,115,345,0.9187865253549892
wedge,CN,116,348,0.9187865253831388
wedge,CN,117,351,0.9187865254061525
wedge,CN,118,354,0.9187865254249671
wedge,CN,119,357,0.9187865254403478
wedge,CN,120,360,0.9187865254529223
wedge,HYB,0,0,0.27708052609262884
wedge,HYB,1,3,0.2687038588145002
wedge,HYB,2,6,0.2872379155103971
wedge,HYB,3,9,0.30705037311621086
wedge,HYB,4,12,0.32822941032445885
wedge,HYB,5,15,0.35086928802124373
wedge,HYB,6,18,0.37507076881026297
wedge,HYB,7,21,0.4009415654738199
wedge,HYB,8,24,0.428596820366767
wedge,HYB,9,27,0.4581596178770279
wedge,HYB,10,30,0.489761532233477
wedge,HYB,11,33,0.5235432130992925
wedge,HYB,12,36,0.5596550115570624
wedge,HYB,13,39,0.5982576492717
wedge,HYB,14,42,0.6395229338093902
wedge,HYB,15,45,0.6983109818555194
