geometry,method,omega,sweeps,relC,converged
wedge,P,0.6,96,0.9374565070668069,1
wedge,CN,0.6,62,0.9176211195880014,1
wedge,P,0.8,75,0.9379280563248121,1
wedge,CN,0.8,48,0.9179358791491353,1
wedge,P,1.0,62,0.9382302604858287,1
wedge,CN,1.0,40,0.9182232989982884,1
wedge,P,1.2,52,0.938315164904111,1
wedge,CN,1.2,34,0.9183565271326838,1
wedge,P,1.4,46,0.9385257859902718,1
wedge,CN,1.4,29,0.918380731128568,1
wedge,P,1.6,41,0.9386378853622638,1
wedge,CN,1.6,26,0.9184952473991734,1
wedge,P,1.8,36,0.9386163015309973,1
wedge,CN,1.8,25,0.9188230795666308,1
rand100x10,P,0.6,9,0.8035077539503633,1
rand100x10,CN,0.6,18,0.6013248615507729,1
rand100x10,P,0.8,7,0.8054368227297247,1
rand100x10,CN,0.8,16,0.6253133853099487,1
rand100x10,P,1.0,6,0.8059194122223474,1
rand100x10,CN,1.0,15,0.6448291459255916,1
rand100x10,P,1.2,9,0.7949115652817781,1
rand100x10,CN,1.2,13,0.6502833562613922,1
rand100x10,P,1.4,14,0.7721020812238669,1
rand100x10,CN,1.4,12,0.6584547762285028,1
rand100x10,P,1.6,19,0.7540440457587384,1
rand100x10,CN,1.6,80,0.6215314077769406,1
rand100x10,P,1.8,21,0.7452091796652957,1
rand100x10,CN,1.8,80,0.6106376284958628,1
rand100x10,P,0.6,9,0.8043744016697225,1
rand100x10,CN,0.6,31,0.5766767246974922,1
rand100x10,P,0.8,7,0.8058504922625329,1
rand100x10,CN,0.8,114,0.6045214028671481,1
rand100x10,P,1.0,5,0.8073461756548151,1
rand100x10,CN,1.0,119,0.5934765400079914,1
rand100x10,P,1.2,4,0.8083101086484284,1
rand100x10,CN,1.2,117,0.5830391206312273,1
rand100x10,P,1.4,4,0.8065384024557053,1
rand100x10,CN,1.4,114,0.5749867116747646,1
rand100x10,P,1.6,6,0.7990837584835853,1
rand100x10,CN,1.6,110,0.5690245327167831,1
rand100x10,P,1.8,15,0.7626550205376457,1
rand100x10,CN,1.8,106,0.5644271075907743,1
rand100x10,P,0.6,8,0.7852259284185461,1
rand100x10,CN,0.6,21,0.6111654475208615,1
rand100x10,P,0.8,7,0.788979156696602,1
rand100x10,CN,0.8,18,0.6127328590614327,1
rand100x10,P,1.0,5,0.7903174420955962,1
rand100x10,CN,1.0,15,0.6132339172523825,1
rand100x10,P,1.2,4,0.791254665378264,1
rand100x10,CN,1.2,13,0.6141709285441803,1
rand100x10,P,1.4,4,0.7895997504703121,1
rand100x10,CN,1.4,12,0.617096021007239,1
rand100x10,P,1.6,6,0.7843225960216565,1
rand100x10,CN,1.6,14,0.6373805382841323,1
rand100x10,P,1.8,8,0.7792814824881525,1
rand100x10,CN,1.8,24,0.6632749989753024,1
rand100x10,P,0.6,8,0.794158296493192,1
rand100x10,CN,0.6,28,0.5672916676136249,1
rand100x10,P,0.8,6,0.7974976598692897,1
rand100x10,CN,0.8,26,0.5852173691596458,1
rand100x10,P,1.0,5,0.7998488816606186,1
rand100x10,CN,1.0,26,0.6037875552431394,1
rand100x10,P,1.2,4,0.8008468200102634,1
rand100x10,CN,1.2,31,0.6029508809165504,1
rand100x10,P,1.4,4,0.8006443354737717,1
rand100x10,CN,1.4,64,0.5387824951382791,1
rand100x10,P,1.6,5,0.7997800701757392,1
rand100x10,CN,1.6,116,0.4529767013650999,1
rand100x10,P,1.8,8,0.7975096427267278,1
rand100x10,CN,1.8,145,0.400414668941655,1
rand100x10,P,0.6,9,0.7945652484949279,1
rand100x10,CN,0.6,19,0.6389876692809984,1
rand100x10,P,0.8,7,0.7975769263707266,1
rand100x10,CN,0.8,17,0.6610282379004171,1
rand100x10,P,1.0,6,0.8001482458551713,1
rand100x10,CN,1.0,15,0.6620073567208219,1
rand100x10,P,1.2,4,0.7946717338489595,1
rand100x10,CN,1.2,14,0.6623912684477741,1
rand100x10,P,1.4,4,0.7979682671444552,1
rand100x10,CN,1.4,13,0.662366206275552,1
rand100x10,P,1.6,6,0.8128174305096816,1
rand100x10,CN,1.6,97,0.5458134947263822,1
rand100x10,P,1.8,12,0.8043900001650772,1
rand100x10,CN,1.8,96,0.5377448052717959,1
rand100x10,P,0.6,9,0.81149909354889,1
rand100x10,CN,0.6,33,0.5907140959897237,1
rand100x10,P,0.8,7,0.8137692752748955,1
rand100x10,CN,0.8,90,0.5570966689649952,1
rand100x10,P,1.0,6,0.8142316860825811,1
rand100x10,CN,1.0,103,0.5348271283739294,1
rand100x10,P,1.2,5,0.8148445856998744,1
rand100x10,CN,1.2,107,0.5186610626415007,1
rand100x10,P,1.4,8,0.8019938720333608,1
rand100x10,CN,1.4,109,0.507676061266383,1
