m,n,rep,method,sweeps,chords,seconds,relC_final,relC@5,relC@30,converged
25,2,0,P,13,351,0.01457010000012815,0.9548003006278291,0.9599273232725771,0.9548003006278291,1
25,2,0,CN,16,432,0.026822000043466687,0.8331664010663553,0.8673528849428628,0.8331664010663553,1
25,2,0,HYB,12,324,0.012826599995605648,0.9558728766219444,0.9623284060211449,0.9558728766219444,1
25,2,0,CN-rand,30,810,0.05185649998020381,0.9283476648460771,0.8923206070121472,0.9283476648460771,0
25,2,0,CN-greedy,30,810,0.056005400023423135,0.987574318357125,0.8682414223535863,0.987574318357125,0
25,2,0,analytic,0,0,0.0010747999767772853,0.2364616692720937,nan,nan,1
25,2,0,chebyshev,0,0,0.005631899985019118,1.0,nan,nan,1
25,2,1,P,4,108,0.00378400000045076,0.8737134920780267,0.8737134920780267,0.8737134920780267,1
25,2,1,CN,27,729,0.043386499979533255,0.9050698581894233,0.8436548149797798,0.9050698581894233,1
25,2,1,HYB,25,675,0.028336199990008026,0.8926748933706655,0.8436548149797798,0.8926748933706655,1
25,2,1,CN-rand,30,810,0.04161880002357066,0.9476587562447676,0.8527710871417923,0.9476587562447676,0
25,2,1,CN-greedy,30,810,0.05162380001274869,0.9876963688973834,0.9337046148658692,0.9876963688973834,0
25,2,1,analytic,0,0,0.0008361000218428671,0.21979315065915614,nan,nan,1
25,2,1,chebyshev,0,0,0.003053799970075488,1.0,nan,nan,1
25,2,2,P,12,324,0.01283799996599555,0.8789320095489163,0.89671058172937,0.8789320095489163,1
25,2,2,CN,12,324,0.017002099950332195,0.95074161558356,0.9122425009938555,0.95074161558356,1
25,2,2,HYB,13,351,0.013336299976799637,0.8778850121384504,0.8968812510125458,0.8778850121384504,1
25,2,2,CN-rand,30,810,0.04168219998246059,0.8788729923336028,0.9630337390327679,0.8788729923336028,0
25,2,2,CN-greedy,30,810,0.050440400023944676,0.9790171730420059,0.9027141095918474,0.9790171730420059,0
25,2,2,analytic,0,0,0.0006006999756209552,0.22201885398892324,nan,nan,1
25,2,2,chebyshev,0,0,0.0029402999789454043,1.0,nan,nan,1
25,2,3,P,10,270,0.009636899980250746,0.9015163005050382,0.8856851806767343,0.9015163005050382,1
25,2,3,CN,15,405,0.02830180001910776,0.933174767661931,0.8223733132618308,0.933174767661931,1
25,2,3,HYB,22,594,0.03173849999438971,0.9285436408513247,0.8223733132618308,0.9285436408513247,1
25,2,3,CN-rand,30,810,0.04645460000028834,0.9064641595611894,0.8788351848084716,0.9064641595611894,0
25,2,3,CN-greedy,30,810,0.05281139997532591,0.9836616908334729,0.978727231544127,0.9836616908334729,0
25,2,3,analytic,0,0,0.0006039999425411224,0.2317469833435132,nan,nan,1
25,2,3,chebyshev,0,0,0.0029768000240437686,1.0,nan,nan,1
25,2,4,P,13,351,0.013137599977198988,0.957351958014952,0.9292365274226283,0.957351958014952,1
25,2,4,CN,8,216,0.01179650000995025,0.7213867106917476,0.7264136797813121,0.7213867106917476,1
25,2,4,HYB,22,594,0.022199300001375377,0.9574079741626492,0.838855441259783,0.9574079741626492,1
25,2,4,CN-rand,30,810,0.04063699999824166,0.8735096406100815,0.8370021268881447,0.8735096406100815,0
25,2,4,CN-greedy,30,810,0.05164879997028038,0.947258387519838,0.8145406023718449,0.947258387519838,0
25,2,4,analytic,0,0,0.0006085999775677919,0.25474038538356386,nan,nan,1
25,2,4,chebyshev,0,0,0.0031281000119633973,1.0,nan,nan,1
25,2,5,P,5,135,0.0077892999979667366,0.9441225309249016,0.9441225309249016,0.9441225309249016,1
25,2,5,CN,2,54,0.002613699994981289,0.8582317721517199,0.8582317721517199,0.8582317721517199,1
25,2,5,HYB,5,135,0.005324099969584495,0.929437997233039,0.929437997233039,0.929437997233039,1
25,2,5,CN-rand,30,810,0.04530309996334836,0.8568743444523934,0.9086643141729752,0.8568743444523934,0
25,2,5,CN-greedy,30,810,0.049790200020652264,0.9807957701523184,0.9284956316410276,0.9807957701523184,0
25,2,5,analytic,0,0,0.0005839999648742378,0.21969963539670184,nan,nan,1
25,2,5,chebyshev,0,0,0.002907400019466877,1.0,nan,nan,1
25,2,6,P,13,351,0.012880700000096112,0.8379263250008493,0.8537177261480255,0.8379263250008493,1
25,2,6,CN,13,351,0.01913940004305914,0.8874797903680386,0.8570096475005243,0.8874797903680386,1
25,2,6,HYB,15,405,0.015176699962466955,0.8385733874719422,0.8654463777031828,0.8385733874719422,1
25,2,6,CN-rand,30,810,0.04151870001805946,0.8045161051390478,0.8835647291612663,0.8045161051390478,0
25,2,6,CN-greedy,30,810,0.06259919999865815,0.9514841125536103,0.8369621573797986,0.9514841125536103,0
25,2,6,analytic,0,0,0.0006059000152163208,0.21537270437177952,nan,nan,1
25,2,6,chebyshev,0,0,0.002876300015486777,1.0,nan,nan,1
25,2,7,P,9,243,0.008377699996344745,0.8519172568815386,0.8592921868579751,0.8519172568815386,1
25,2,7,CN,22,594,0.030713899992406368,0.8494278804519529,0.6805403122589332,0.8494278804519529,1
25,2,7,HYB,27,729,0.028997500019613653,0.8240369716561822,0.6805403122589332,0.8240369716561822,1
25,2,7,CN-rand,30,810,0.04184469999745488,0.8341589129574318,0.9311653818314461,0.8341589129574318,0
25,2,7,CN-greedy,30,810,0.053169700026046485,0.9674045404693123,0.7983000985929418,0.9674045404693123,0
25,2,7,analytic,0,0,0.0006797999958507717,0.20364564031471602,nan,nan,1
25,2,7,chebyshev,0,0,0.003380599955562502,1.0,nan,nan,1
25,2,8,P,9,243,0.008173300011549145,0.9615769868755797,0.9721519152426885,0.9615769868755797,1
25,2,8,CN,14,378,0.019356800010427833,0.7585737281147388,0.8005230275402395,0.7585737281147388,1
25,2,8,HYB,21,567,0.022277800017036498,0.9615575469944896,0.8682420940172796,0.9615575469944896,1
25,2,8,CN-rand,30,810,0.041904899990186095,0.9423095964821454,0.9346394986469606,0.9423095964821454,0
25,2,8,CN-greedy,30,810,0.05377520003821701,0.9907205210594225,0.8345671815351559,0.9907205210594225,0
25,2,8,analytic,0,0,0.000618399993982166,0.2509236453031107,nan,nan,1
25,2,8,chebyshev,0,0,0.0033853999921120703,1.0,nan,nan,1
25,2,9,P,7,189,0.007317800016608089,0.9056906578550296,0.9007652951149532,0.9056906578550296,1
25,2,9,CN,17,459,0.027902600006200373,0.8546392675964078,0.7567900428394727,0.8546392675964078,1
25,2,9,HYB,30,810,0.03805819997796789,0.9481486368380004,0.7567900428394727,0.9481486368380004,1
25,2,9,CN-rand,30,810,0.04429439996602014,0.9162634720003321,0.890736204372474,0.9162634720003321,0
25,2,9,CN-greedy,30,810,0.051889700000174344,0.9436882982048673,0.8893668617805285,0.9436882982048673,0
25,2,9,analytic,0,0,0.0007230999763123691,0.23530870314449417,nan,nan,1
25,2,9,chebyshev,0,0,0.004134799994062632,1.0,nan,nan,1
25,2,10,P,19,513,0.02020579995587468,0.9138386679341539,0.9628505565311942,0.9138386679341539,1
25,2,10,CN,2,54,0.004552199970930815,0.8581771277265118,0.8581771277265118,0.8581771277265118,1
25,2,10,HYB,5,135,0.0068109999992884696,0.9096743511565542,0.9096743511565542,0.9096743511565542,1
25,2,10,CN-rand,30,810,0.048763200000394136,0.8848315870399708,0.9028540383002218,0.8848315870399708,0
25,2,10,CN-greedy,30,810,0.05205729999579489,0.9773432122707064,0.9658891509251423,0.9773432122707064,0
25,2,10,analytic,0,0,0.0006309999735094607,0.21563402671675774,nan,nan,1
25,2,10,chebyshev,0,0,0.00310850003734231,1.0,nan,nan,1
25,2,11,P,17,459,0.01646499999333173,0.9431332656464514,0.9212498549310414,0.9431332656464514,1
25,2,11,CN,16,432,0.026270599977578968,0.8537511961583107,0.7447453666024356,0.8537511961583107,1
25,2,11,HYB,30,810,0.03027200000360608,0.9424479072593948,0.7447453666024356,0.9424479072593948,1
25,2,11,CN-rand,30,810,0.04130659997463226,0.8484269023159173,0.750126119333852,0.8484269023159173,0
25,2,11,CN-greedy,30,810,0.048070000018924475,0.9681240675913133,0.7704040929867706,0.9681240675913133,0
25,2,11,analytic,0,0,0.000667500018607825,0.2036466293169773,nan,nan,1
25,2,11,chebyshev,0,0,0.002877799968700856,1.0,nan,nan,1
25,2,12,P,16,432,0.014280500006861985,0.9306222083857363,0.9298030821626166,0.9306222083857363,1
25,2,12,CN,15,405,0.02183119999244809,0.9456350108453362,0.8112963551416271,0.9456350108453362,1
25,2,12,HYB,24,648,0.02516520000062883,0.9307356233347096,0.8112963551416271,0.9307356233347096,1
25,2,12,CN-rand,30,810,0.03908660000888631,0.9289231250042275,0.6792857644874681,0.9289231250042275,0
25,2,12,CN-greedy,30,810,0.04689840000355616,0.9693785339585389,0.8841936179543762,0.9693785339585389,0
25,2,12,analytic,0,0,0.0006052000098861754,0.21263346792603557,nan,nan,1
25,2,12,chebyshev,0,0,0.0028239000239409506,1.0,nan,nan,1
25,2,13,P,7,189,0.006240100017748773,0.8486273337117981,0.8447189312403343,0.8486273337117981,1
25,2,13,CN,31,837,0.04054819996235892,0.6837881697851554,0.4394584299250017,0.6814831619728302,1
25,2,13,HYB,30,810,0.030282899970188737,0.8491517688955951,0.4394584299250017,0.8491517688955951,1
25,2,13,CN-rand,30,810,0.041266300017014146,0.8155667133903435,0.7139143474033817,0.8155667133903435,0
25,2,13,CN-greedy,30,810,0.05071229999884963,0.9754139058380704,0.938130083019435,0.9754139058380704,0
25,2,13,analytic,0,0,0.000720099953468889,0.18689050084162617,nan,nan,1
25,2,13,chebyshev,0,0,0.0029981000116094947,1.0,nan,nan,1
25,2,14,P,6,162,0.005534399999305606,0.9495049791461038,0.9511554590659083,0.9495049791461038,1
25,2,14,CN,18,486,0.025708300003316253,0.8143477760369947,0.745041963996078,0.8143477760369947,1
25,2,14,HYB,21,567,0.022593499976210296,0.9321668721810238,0.8083350087448582,0.9321668721810238,1
25,2,14,CN-rand,30,810,0.04088040004717186,0.915546863803075,0.7889296144818951,0.915546863803075,0
25,2,14,CN-greedy,30,810,0.051739799964707345,0.9803712392924403,0.9490625032910391,0.9803712392924403,0
25,2,14,analytic,0,0,0.0005310000269673765,0.20322259079116647,nan,nan,1
