rep,copies,method,drift
0,2,P,0.8655200091158419
0,2,CN,2.0020764979969967
0,2,P-w,2.9633506493181755e-15
0,2,CN-w,2.0008521230934506
0,2,analytic,0.41165567172684575
0,2,chebyshev,0.0
0,5,P,1.7027239791241668
0,5,CN,1.9814284470122672
0,5,P-w,4.934267166147855e-15
0,5,CN-w,2.008317108010991
0,5,analytic,0.8562972551557602
0,5,chebyshev,0.0
1,2,P,1.0414042572056201
1,2,CN,1.8082371786582412
1,2,P-w,9.313622458806362e-15
1,2,CN-w,1.7219577225801113
1,2,analytic,0.4010195104425505
1,2,chebyshev,0.0
1,5,P,1.9847234191830525
1,5,CN,1.807802900978177
1,5,P-w,9.716347308644637e-15
1,5,CN-w,1.6128109767223406
1,5,analytic,0.8025855728965531
1,5,chebyshev,0.0
2,2,P,0.7966518761227896
2,2,CN,1.371938853959594
2,2,P-w,7.419989772790632e-15
2,2,CN-w,1.4274193053997852
2,2,analytic,0.3994347793294147
2,2,chebyshev,0.0
2,5,P,1.3719336220993095
2,5,CN,1.374094904538354
2,5,P-w,2.0512776423908334e-14
2,5,CN-w,1.4660855426580113
2,5,analytic,0.81369140335688
2,5,chebyshev,0.0
3,2,P,0.3316264355186485
3,2,CN,1.423494155123823
3,2,P-w,3.61879876286291e-15
3,2,CN-w,1.4557363196833015
3,2,analytic,0.3460197445000674
3,2,chebyshev,0.0
3,5,P,1.2083650370427035
3,5,CN,1.4317989326061016
3,5,P-w,6.191466253095772e-15
3,5,CN-w,1.5687710700384527
3,5,analytic,0.6957100219917861
3,5,chebyshev,0.0
4,2,P,0.37020233451332163
4,2,CN,1.1370445590770444
4,2,P-w,3.4312728012135932e-15
4,2,CN-w,1.1822792357961736
4,2,analytic,0.3558459623927816
4,2,chebyshev,0.0
4,5,P,1.1102755879241517
4,5,CN,1.1328172290966296
4,5,P-w,7.609321552754115e-15
4,5,CN-w,1.2166459250024335
4,5,analytic,0.7115714033910672
4,5,chebyshev,0.0
5,2,P,0.7872834467675982
5,2,CN,2.508246794633497
5,2,P-w,5.7857720957190094e-15
5,2,CN-w,2.3699804041737393
5,2,analytic,0.39580966116407285
5,2,chebyshev,0.0
5,5,P,1.741727110318794
5,5,CN,2.507010215245706
5,5,P-w,2.0137177067180534e-14
5,5,CN-w,2.2138124355250044
5,5,analytic,0.8133541267571615
5,5,chebyshev,0.0
6,2,P,0.8277880695761916
6,2,CN,1.241138869610828
6,2,P-w,3.348606763187937e-15
6,2,CN-w,1.2359952155154095
6,2,analytic,0.3613465379315047
6,2,chebyshev,0.0
6,5,P,1.536888490662369
6,5,CN,1.2441910953386703
