m,n,rep,method,sweeps,chords,seconds,relC_final,converged
100,10,0,P,88,8800,0.3967059000278823,0.7801925731642619,1
100,10,0,CN,174,17400,1.1633804999873973,0.6842893660487308,1
100,10,0,CN-rand,30,3000,0.17542589997174218,0.655413656677979,0
100,10,0,CN-greedy,30,3000,0.20948999997926876,0.9751702078682106,0
100,10,0,analytic,0,0,0,0.26004410981624304,1
100,10,1,P,59,5900,0.2319427999900654,0.7584609923769432,1
100,10,1,CN,310,31000,1.7330499000381678,0.6342633000250264,1
100,10,1,CN-rand,30,3000,0.16785750002600253,0.6801717471412316,0
100,10,1,CN-greedy,30,3000,0.24853219999931753,0.9662976322741693,0
100,10,1,analytic,0,0,0,0.27552569301019836,1
100,10,2,P,66,6600,0.5229272000142373,0.866684784199812,1
100,10,2,CN,144,14400,1.0105079999775626,0.6895017415021247,1
100,10,2,CN-rand,30,3000,0.16724159999284893,0.7478438545010555,0
100,10,2,CN-greedy,30,3000,0.2548141000443138,0.9758153441703953,0
100,10,2,analytic,0,0,0,0.4781514404279965,1
100,10,3,P,65,6500,0.3022453000303358,0.8750933258925221,1
100,10,3,CN,187,18700,1.5266449000337161,0.5704763783414905,1
100,10,3,CN-rand,30,3000,0.2921632999787107,0.7444516287410673,0
100,10,3,CN-greedy,30,3000,0.30419990001246333,0.9766134793455916,0
100,10,3,analytic,0,0,0,0.5892766242897013,1
100,10,4,P,67,6700,0.4332903000176884,0.8442547852381829,1
100,10,4,CN,247,24700,2.041547799948603,0.6602953919062868,1
100,10,4,CN-rand,30,3000,0.21617699996568263,0.6387894182908408,0
100,10,4,CN-greedy,30,3000,0.2232409999705851,0.9710384376768247,0
100,10,4,analytic,0,0,0,0.4942973345837137,1
100,10,5,P,56,5600,0.24445569998351857,0.7840996213975635,1
100,10,5,CN,181,18100,1.0679120999993756,0.6036204325814413,1
100,10,5,CN-rand,30,3000,0.19541270000627264,0.738789661106357,0
100,10,5,CN-greedy,30,3000,0.30869360000360757,0.9788899680235977,0
100,10,5,analytic,0,0,0,0.3124927398827116,1
100,10,6,P,46,4600,0.21965310000814497,0.8254868378765469,1
100,10,6,CN,132,13200,0.9566723000025377,0.6982280685506949,1
100,10,6,CN-rand,30,3000,0.18390219996217638,0.7585128583291106,0
100,10,6,CN-greedy,30,3000,0.3428663000231609,0.9797367164017371,0
100,10,6,analytic,0,0,0,0.44328265550639556,1
100,10,7,P,64,6400,0.26957950001815334,0.8023377359810173,1
100,10,7,CN,81,8100,0.4987437999807298,0.692214799810331,1
100,10,7,CN-rand,30,3000,0.2064505000016652,0.8017365940989848,0
100,10,7,CN-greedy,30,3000,0.3511780999833718,0.964694196944381,0
100,10,7,analytic,0,0,0,0.28554173899141033,1
100,10,8,P,53,5300,0.40979399997740984,0.8888751871602001,1
100,10,8,CN,141,14100,1.0960991000174545,0.6700144539772362,1
100,10,8,CN-rand,30,3000,0.2143557000090368,0.744596872268582,0
100,10,8,CN-greedy,30,3000,0.24375419999705628,0.9829568092275445,0
100,10,8,analytic,0,0,0,0.5945662021215842,1
